
SUBJ	CRSE	SECTION	CRN	TITLE	CREDITS		M	T	W	TH	F	SAT	SUN	START	END	PROFESSOR	DISTRIBUTION	DJ	CLASS_CAP
DAN	211M	VA	92400	Intermediate Modern Dance	1		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	. TBA	PA 		20
DAN	215A	SB	92258	Intermediate/Advanced  Contemporary West African Dance	1		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Souleymane Badolo	PA 		20
DAN	215B	MS	92260	Intermediate/Advanced Ballet	1		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Maria Simpson	PA 		20
DAN	215M	YG	92257	Intermediate/Advanced Modern Dance	1		M	.	W	.	.	.	.	3:10 PM	4:30 PM	Yebel Gallegos	PA 		25
DAN	217	TL	92255	Dance Composition II	3		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Tara Lorenzen	PA 		15
DAN	241	MS	92264	Writing the Body	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Maria Simpson	AA 		15
DAN	315	VA	92262	Dance Repertory	3		.	T	.	Th	.	.	.	3:10 PM	4:30 PM	. TBA	PA 		12
DAN	319	YG	92261	Identity Maintenance: Dancing in the Inbetween	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Yebel Gallegos	PA 	D+J	20
DAN	WKSHP		92265	Dance Workshop	1		.	T	.	.	.	.	.	6:15 PM	8:00 PM	Yebel Gallegos	PA 		20
ECON	100	A	91959	Principles of Economics	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Aniruddha Mitra	SA 		22
ECON	100	B	91960	Principles of Economics	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	. TBA	SA 		22
ECON	100	C	91961	Principles of Economics	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Michael Martell	SA 		22
ECON	100	D	91962	Principles of Economics	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Oleksandr Valchyshen	SA 		22
ECON	202		91963	Intermediate macroeconomics	4		M	.	W	.	.	.	.	1:30 PM	2:50 PM	. TBA	SA 		22
ECON	214		91964	Labor Economics	4		M	.	W	.	.	.	.	5:10 PM	6:30 PM	Michael Martell	SA 	D+J	22
ECON	221		91965	Economic Development	4		M	.	W	.	.	.	.	5:10 PM	6:30 PM	Sanjay DeSilva	SA 		22
ECON	223		91966	International Trade	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	. TBA	SA 		22
ECON	225		92409	Economic Perspectives	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	. TBA	SA 		22
ECON	229		91967	Introduction to Econometrics	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Sanjay DeSilva	MC 		18
ECON	291		92410	Foundations: Finance and Investments	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Oleksandr Valchyshen	SA 		22
ECON	327		91968	Games, Markets, and Information	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Aniruddha Mitra	SA 		16
ECON	329		91969	Advanced Econometrics	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Gautam Sethi	MC 		16
ES	100		92023	Introduction to Environmental Studies	4		M	.	W	.	.	.	.	9:10 AM	11:30 AM	Beate Liepert/Monique Segarra	SA 		35
ES	102		92021	Climate Change and its Human Dimension	4		M	.	.	.	.	.	.	3:30 PM	5:50 PM	Beate Liepert	LS 		20
 	 		 			and	.	.	W	.	.	.	.	3:30 PM	5:50 PM				
ES	113		92022	Introduction to Geography and GeoSciences	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Jordan Ayala	SA 		16
ES	221		92024	Water Quality Research	4		.	T	.	Th	.	.	.	8:30 AM	9:50 AM	Elias Dueker	LS 		20
 	 		 			and	.	T	.	Th	.	.	.	8:30 AM	11:30 AM				
ES	305E		92025	Social Entrepreneurship Practicum	4		M	.	W	.	.	.	.	8:30 AM	9:50 AM	Alejandro Crawford	SA 		30
ES	321		92026	GIS for Environmental Justice	4		M	.	W	.	.	.	.	11:50 AM	1:50 PM	Jordan Ayala	SA 		16
ES	340		92029	Statistics and Econometrics	4		M	.	.	.	F	.	.	1:30 PM	3:00 PM	Gautam Sethi	MC 		4
ES	405		92028	Introduction to Environmental Policy I	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Monique Segarra	SA 	D+J	5
FILM	106		92411	Intro to Documentary	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Joshua Glick	AA 		18
 	 		 			and	.	.	.	.	.	.	Sun	7:00 PM	9:00 PM				
FILM	109		92423	Aesthetics of Film	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Richard Suchenski	AA 		24
 	 		 			and	.	T	.	.	.	.	.	7:00 PM	11:00 PM				
FILM	111	A	92414	Introduction to Video	4		.	T	.	.	.	.	.	10:10 AM	1:10 PM	Carl Elsaesser	PA 		12
FILM	111	B	92415	Introduction to Video	4		.	.	W	.	.	.	.	10:10 AM	1:10 PM	Jacqueline Goss	PA 		12
FILM	111	LBA	92416	Introduction to Video Lab	0		.	.	.	.	F	.	.	10:10 AM	11:30 AM	Marc Schreibman	PA 		12
FILM	111	LBB	92417	Introduction to Video Lab	0		.	.	.	.	F	.	.	1:30 PM	2:50 PM	Marc Schreibman	PA 		12
FILM	115		92412	Cinema from 19th C to WWII	4		.	.	.	Th	.	.	.	1:30 PM	4:30 PM	Masha Shpolberg	AA 		24
 	 		 			and	.	.	W	.	.	.	.	7:00 PM	11:00 PM				
FILM	208		92483	 Introduction to 16mm Film	4		.	.	W	.	.	.	.	3:30 PM	6:30 PM	Carl Elsaesser	PA 		12
FILM	223		92420	Graphic Film Workshop	4		.	.	.	Th	.	.	.	10:10 AM	1:10 PM	Brent Green	PA 		12
FILM	225		92419	3D Animation	4		M	.	.	.	.	.	.	1:30 PM	4:30 PM	Ben Coonley	PA 		12
FILM	236		92424	Cinematic Romanticism	4		.	T	.	.	.	.	.	1:30 PM	4:30 PM	Richard Suchenski	AA 		15
 	 		 			and	M	.	.	.	.	.	.	7:00 PM	11:00 PM				
FILM	255		92422	Experimental Cinema 1970-2000	4		.	.	.	.	F	.	.	10:10 AM	1:10 PM	Ed Halter	AA 		15
 	 		 			and	.	.	.	Th	.	.	.	7:00 PM	11:00 PM				
FILM	278		92484	Documentary Film Workshop	4		.	.	.	Th	.	.	.	10:10 AM	1:10 PM	Fiona Otway	PA 		12
FILM	331		92421	In the Archive	4		.	.	.	Th	.	.	.	1:30 PM	4:30 PM	Ed Halter	AA 		15
FILM	335		92418	Video Installation	4		.	T	.	.	.	.	.	1:30 PM	4:30 PM	Ben Coonley	PA 		12
FILM	372		92427	A World of Laughter: Comedy in cinema across time and culture	4		.	T	.	.	.	.	.	10:10 AM	1:10 PM	Ian Buruma	AA 		15
 	 		 			and	M	.	.	.	.	.	.	5:00 PM	9:00 PM				
FILM	405		92425	Senior Seminar	0		.	T	.	.	.	.	.	5:00 PM	7:00 PM	Jacqueline Goss	None		35
FREN	201		91975	Intermediate French I	4		M	T	.	Th	.	.	.	8:50 AM	9:50 AM	Odile Chilton	FL 		22
FREN	202		91976	Intermediate French II	4		.	T	W	.	F	.	.	11:50 AM	12:50 PM	Gabriella Lindsay	FL 		18
FREN	220		91977	French Through Film	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Odile Chilton	FL 		22
FREN	240		91978	The Quest for Authenticity: Topics in Literature in French	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Gabriella Lindsay	FL 	D+J	18
FREN	346		91979	Absolutely Modern: French Poetry from Baudelaire to the Present	4		M	.	.	.	.	.	.	3:10 PM	5:30 PM	Eric Trudel	FL 		16
GER	106		91980	Beginning German Intensive	8		M	T	W	Th	.	.	.	8:30 AM	11:30 AM	Stephanie Kufner	FL 		20
GER	331		92462	Poetry and Philosophy	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Thomas Wild	FL 		15
GER	424		92448	Hedgehogs: The German Romantics and the Fragment as Absolute	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Jana Schmidt	FL 		15
GIS	222		92473	Third World Fascisms: Ideologies of Populist Authoritarianism in the Global South	4		.	.	.	.	.	.	.			. TBA	SA 		22
GRE	101		91982	Beginning Ancient Greek	4		M	T	W	Th	.	.	.	10:10 AM	11:10 AM	Lauren Curtis	FL 		22
GRE	201		91984	Intermediate Greek	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Robert Cioffi	FL 		16
GRE	316		91985	Advanced Greek: Readings in Greek Literature and Culture	4		.	.	.	.	.	.	.			Lauren Curtis	FL 		12
HEB	101		91986	Hebrew Language and Culture	4		M	.	W	Th	.	.	.	11:50 AM	1:10 PM	. TBA	FL 		22
HEB	201		91987	Intermediate Hebrew	4		.	.	.	.	.	.	.			. TBA	FL 		15
HIST	101		92453	The Global Middle Ages I	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	. TBA	HA 		22
HIST	142		92032	Britain since 1707	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Richard Aldous	HA 		22
HIST	152		92033	Latin America: Independence, Sovereignty, and Revolution	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Miles Rodriguez	HA 	D+J	22
HIST	180		92034	Technology, Labor, Capitalism	4		.	T	.	Th	.	.	.	5:10 PM	6:30 PM	Jeannette Estruth	HA 	D+J	22
HIST	181		92035	Jews in the Modern World	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Cecile Kuznitz	HA 	D+J	22
HIST	184		92449	Inventing Modernity: Commune, Renaissance, and Reformation in Western Europe, 1291-1806	4		M	.	.	Th	.	.	.	1:30 PM	2:50 PM	Gregory Moynahan	HA 		22
HIST	185		92036	The Making of the Modern Middle East	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Ibrahim Elhoudaiby	HA 	D+J	22
HIST	186		92037	India before Western Imperialism (1200 to 1757 CE)	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Rupali Warke	HA 		22
HIST	193		92039	From the New Deal to the Art of the Deal to the Green New Deal: Liberalism and Conservatism in the U	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Jeannette Estruth	HA 	D+J	22
HIST	2000		92040	Let’s All Meet Up in the Year 2000: Britain in the first decade of the 21st century	4		M	.	W	.	.	.	.	5:10 PM	6:30 PM	Richard Aldous	HA 		22
HIST	202		92471	From Long War to Short Peace: Russian History and International Politics since 1985	4		M	.	W	.	.	.	.	8:30 AM	9:50 AM	Victor Apryshchenko	HA 		22
HIST	203		92045	Russia under the Romanovs	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Sean McMeekin	HA 		22
HIST	212		92043	“Oriental”  Bodies: Law, Labor and Gender in the Colonized Middle East	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Ibrahim Elhoudaiby	HA 	D+J	18
HIST	213		92044	Global Cities of South Asia: Delhi and Mumbai through time	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Rupali Warke	HA 		18
HIST	2135		92048	Resistance and Collaboration in the Holocaust	4		.	T	.	Th	.	.	.	3:10 PM	4:30 PM	Cecile Kuznitz	HA 	D+J	22
HIST	2271		92050	Black Modernisms	4		.	.	W	.	F	.	.	3:30 PM	4:50 PM	Tabetha Ewing	HA 	D+J	15
HIST	229		92046	Confucianism: Humanity, Rites, and Rights	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Robert Culp	HA 	D+J	22
HIST	301		92052	The Second World War	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Sean McMeekin	HA 		18
HIST	310		92053	Captivity and Law	4		.	.	.	.	F	.	.	12:30 PM	2:50 PM	Tabetha Ewing	HA 		12
HIST	3234		92450	Your Papers Please?	4		.	T	.	.	.	.	.	12:30 PM	2:50 PM	Gregory Moynahan	HA 	D+J	12
HIST	331		92054	Latin America: Race, Religion and Revolution	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Miles Rodriguez	HA 	D+J	12
HIST	391		92051	Children of Empire: a Transnational History of Boarding Schools	4		.	.	W	.	.	.	.	4:50 PM	7:50 PM	Wendy Urban-Mead	HA 	D+J	8
HIST	403		92057	Senior Project Colloquium	0		.	.	.	.	F	.	.	10:10 AM	12:30 PM	Robert Culp	HA 		20
HR	105		92059	Human Rights Advocacy	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Ziad Abu-Rish	SA 	D+J	22
HR	189		92060	Human Rights to Civil Rights	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Kwame Holmes	HA 	D+J	22
HR	226		92061	Women's Rights, Human Rights	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Robert Weston	SA 	D+J	22
HR	240		92405	Observation and Description	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Gilles Peress	MBV 		15
HR	246		92474	Human Rights in Africa	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	John Ryle/Peter Rosenblum	SA 	D+J	22
HR	2509		92062	Telling Stories About Rights	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Thomas Bartscherer	LA 		22
HR	273		92063	Copaganda	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Kwame Holmes	SA 	D+J	22
HR	275		92064	Literatures of Human Rights	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Ingrid Becker	LA 	D+J	18
HR	280		92397	Hannah Arendt - Conversations in Dark Times	1		M	.	W	.	.	.	.	1:30 PM	2:50 PM	Marie Knott	MBV 		16
HR	301		92464	Methods and Human Rights	2		M	.	.	.	.	.	.	12:30 PM	2:50 PM	Ziad Abu-Rish	SA 	D+J	15
HR	307		92403	Human Rights at the Border	4		.	.	.	Th	.	.	.	10:50 AM	1:10 PM	Peter Rosenblum	SA 	D+J	16
HR	3206		92069	Evidence	4		.	.	W	.	.	.	.	10:10 AM	12:30 PM	Thomas Keenan	MBV 	D+J	18
HR	321	A	92067	Video advocacy: Clemency (Production)	4		.	T	.	.	.	.	.	12:30 PM	2:50 PM	Brent Green/Thomas Keenan	PA 	D+J	18
HR	321	B	92068	Video advocacy: Clemency (Reading)	2		.	T	.	.	.	.	.	11:00 AM	12:15 PM	Brent Green/Thomas Keenan	PA 	D+J	18
HR	322		92066	Illness & Performance	4		.	.	W	.	.	.	.	3:30 PM	5:50 PM	Ziad Abu-Rish	PA 	D+J	5
HR	323		92075	Citizens of the World:  Ancient, Modern, Contemporary	4		.	T	.	.	.	.	.	9:10 AM	11:30 AM	Thomas Bartscherer	MBV 		15
HR	328		92454	Colonial Characters	4		.	.	W	.	.	.	.	9:10 AM	11:30 AM	Zahid Rafiq	LA 		16
HR	354		92070	Reproductive Health and Human Rights	4		.	.	.	Th	.	.	.	9:10 AM	11:30 AM	Helen Epstein	SA 	D+J	20
HR	391		92446	Disability Rights in Education	2		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Erin Braselmann	SA 	D+J	18
HR	403		92071	Senior Project Colloquium	0		M	.	.	.	.	.	.	12:30 PM	2:50 PM	Helen Epstein	SA 		20
HUM	216		92472	Global History Lab	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Victor Apryshchenko	None		10
HUM	234		92173	Landscape Studies: The Hudson River Valley	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Jana Mader	HA 		22
ITAL	201		91988	Intermediate Italian	4		.	T	W	Th	.	.	.	10:10 AM	11:30 AM	Karen Raizen	FL 		22
ITAL	235		91989	Imagining Italian Cities	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Franco Baldasso	FL 		22
ITAL	331		91990	Italy after Fascism	4		.	T	.	.	.	.	.	3:30 PM	5:50 PM	Franco Baldasso	FL 	D+J	15
JAPN	101		91991	Elementary Japanese I	4		M	T	W	Th	.	.	.	10:10 AM	11:10 AM	Wakako Suzuki	FL 		22
JAPN	201		91992	 Intermediate Japanese I	4		.	T	W	Th	.	.	.	10:10 AM	11:10 AM	Phuong Ngo	FL 		22
JAPN	303		91993	Readings in Japanese Culture	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Wakako Suzuki	FL 		15
LAIS	204		92056	Latin American and Caribbean Revolutions	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Miles Rodriguez	HA 	D+J	18
LAT	101		91994	Beginning Latin I	4		M	T	W	Th	.	.	.	10:10 AM	11:30 AM	David Ungvary	FL 		22
LAT	201		91995	Politics, Poetry, and Love in Republican Rome	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Robert Cioffi	FL 		16
LAT	314		91996	Advanced Latin: The Origins of Rome	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Lauren Curtis	FL 		22
LIT	104		92124	Inventing England	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Marisa Libbon	LA 		22
LIT	105		92125	Solar Readings	4		.	.	W	.	F	.	.	11:50 AM	1:10 PM	Elizabeth Holt	LA 		22
LIT	131		92480	Women and Leadership	2		.	.	.	.	F	.	.	10:00 AM	12:00 PM	Deirdre D'Albertis/Erin Cannan-Campolong/Michelle Murray	None	D+J	20
LIT	144		92126	Failing with Style: Introduction to Renaissance Poetry	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Adhaar Desai	LA 		22
LIT	201	A	92127	Narrative/Poetics/Representation	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Cole Heinowitz	LA 		15
LIT	201	B	92128	Narrative/Poetics/Representation	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Ingrid Becker	LA 		15
LIT	201	C	92129	Narrative/Poetics/Representation	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Stephen Graham	LA 		15
LIT	2052		92151	Feminist Solidarity Possible?	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Alys Moody	LA 	D+J	22
LIT	209		92130	Rethinking European Literature I: The Classical Era, the Middle Ages, and the Renaissance	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Karen Sullivan	LA 		22
LIT	2144		92443	Modern Korean Literature in Global Context	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	. TBA	LA 		15
LIT	215		92457	Marcel Proust's "In Search of Lost Time"	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Eric Trudel	LA 		22
LIT	216		92481	Producing the “Shojo” : Reading and Writing Girlhood in Japan	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Phuong Ngo	LA 		22
LIT	2166		92444	Divisions, Partitions, and Frontiers: Literatures from Asian Borderlands	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	. TBA	LA 		15
LIT	217		92490	Silk	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Elizabeth Holt	LA 		22
LIT	2227		92143	Dostoevsky Presently: Poetics, Philosophy, Politics, & Psychology	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Marina Kostalevsky	LA 		22
LIT	2290		92144	Tokyo Textscapes	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Wakako Suzuki	FL 		22
LIT	230		92133	Wild Romanticism	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Cole Heinowitz	LA 		22
LIT	240		92134	Literary Journalism	4		M	.	W	.	.	.	.	8:30 AM	9:50 AM	Ian Buruma	LA 		22
LIT	2404		92478	Fantastic Journeys and the Modern World	4		.	.	.	.	F	.	.	3:00 PM	5:20 PM	Jonathan Brent	LA 		20
LIT	2414		92145	The Book Before Print	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Marisa Libbon	LA 		22
LIT	2422		92146	Social Change and the Arts in Modern China	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Shuangting Xiong	FL 		22
LIT	252		92135	Empire, Equality, Ecology: British Literature since 1800	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Daniel Williams	LA 		22
LIT	257		92136	American Literature I: Amazing Grace: The Puritan Legacy in American Literature and Culture	4		.	.	W	Th	.	.	.	10:10 AM	11:30 AM	Elizabeth Frank	LA 	D+J	22
LIT	259		92138	The Modern and the Postmodern: Twentieth-Century American Literature	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Matthew Mutter	LA 		22
LIT	263		92139	What is a Character?	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Adhaar Desai	LA 		22
LIT	276B		92137	Chosen Voices: Jewish Authors	4		.	.	W	Th	.	.	.	8:30 AM	9:50 AM	Elizabeth Frank	LA 	D+J	22
LIT	280		92140	The Heroic Age	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Karen Sullivan	LA 		22
LIT	284		92141	On Friendship	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Thomas Wild	LA 		22
LIT	294		92142	South African Literature	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Daniel Williams	LA 	D+J	22
LIT	296		92447	Memory Strays: On Narrating the Histories of Others	4		.	T	.	Th	.	.	.	5:10 PM	6:30 PM	Jana Schmidt	LA 		22
LIT	3013		92154	Beyond the Work Ethic: The Uses and Misuses of Idleness	4		.	.	.	.	F	.	.	12:30 PM	2:50 PM	Marina van Zuylen	LA 		15
LIT	3048		92156	Extraordinary Bodies: Disability in American Literature and Culture	4		.	T	.	.	.	.	.	6:00 PM	9:00 PM	Jaime Alves	LA 	D+J	10
LIT	3219		92149	Leo Tolstoy's "War and Peace"	4		.	.	.	.	F	.	.	12:30 PM	2:50 PM	Marina Kostalevsky	FL 		15
LIT	323		92150	Lolita: Nabokov and the Language of Desire	4		M	.	.	.	.	.	.	12:30 PM	2:50 PM	Olga Voronina	LA 		15
LIT	3233		92155	American Study	4		M	.	.	.	.	.	.	12:30 PM	2:50 PM	Peter L'Official	LA 	D+J	15
LIT	334		92152	Fantastika and the New Gothic	4		M	.	.	.	.	.	.	12:30 PM	2:50 PM	Bradford Morrow	LA 		15
LIT	345		92153	Difficulty	4		M	.	.	.	.	.	.	12:30 PM	2:50 PM	Joseph O'Neill	LA 		15
LIT	387		92147	Things and Stuff	4		.	.	W	.	.	.	.	3:30 PM	5:50 PM	Hua Hsu	LA 		15
LIT	388		92148	Imaginary Childhoods	4		.	.	.	.	F	.	.	1:30 PM	4:30 PM	Francine Prose	LA 		15
LIT	405		92157	Literature Senior Colloquium I	1		.	.	.	.	.	.	.			. TBA	LA 		25
LIT	406		92158	Literature Senior Colloquium II	1		.	.	.	.	.	.	.			. TBA	LA 		15
MAT	ED151		92434	Pedagogy and Practice in Civic Engagement	2		.	T	.	.	.	.	.	5:10 PM	6:30 PM	Michael Murray	None		15
MAT	ED521		92432	Laboratory Support for Science Inquiry in Citizen Science	2		M	.	.	.	.	.	.	5:30 PM	8:00 PM	Rebeca Patsey	None		16
 	 		 			and	M	.	.	.	.	.	.	6:00 PM	8:00 PM				
MAT	ED523		92433	Science and the Young Learner	2		M	.	.	.	.	.	.	5:30 PM	8:00 PM	Mary Krembs	None		16
MAT	ED524		92486	Language, Literacy, Learning	4		M	.	.	.	.	.	.	5:10 PM	8:10 PM	. TBA	None		20
MAT	ED525	HI	92487	History Teaching Lab	4		.	T	.	.	.	.	.	4:50 PM	7:50 PM	. TBA	None		15
MAT	ED525	LI	92488	Literature Teaching Lab	4		.	.	.	Th	.	.	.	6:00 PM	9:00 PM	. TBA	None		15
MAT	ED525	S	92489	STEM Teaching Lab II	4		.	T	.	.	.	.	.	4:30 PM	7:30 PM	Dumaine Williams	None		10
MATH	110		91916	Precalculus	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Japheth Wood	MC 		22
MATH	141	A	91917	Calculus I	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Stefan Mendez-Diez	MC 		22
MATH	141	B	91918	Calculus I	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Stefan Mendez-Diez	MC 		22
MATH	141	C	91919	Calculus I	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Steven Simon	MC 		22
MATH	141	D	91920	Calculus I	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Steven Simon	MC 		22
MATH	142	A	91921	Calculus II	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Mary Krembs	MC 		22
MATH	142	B	91922	Calculus II	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Ethan Bloch	MC 		22
MATH	142	C	91923	Calculus II	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Daniel Newsome	MC 		22
MATH	208		91958	Mathematics Seminar	1		.	.	W	.	.	.	.	11:50 AM	1:10 PM	Lauren Rose/Sven Anderson	None		20
MATH	242		91924	Linear Algebra	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Ethan Bloch	MC 		18
MATH	255		91926	Vector Calculus	4		.	T	.	Th	.	.	.	8:30 AM	9:50 AM	Charles Doran	MC 		18
MATH	261		91925	Proofs and Fundamentals	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Lauren Rose	MC 		15
MATH	328		91927	Probability	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Stefan Mendez-Diez	MC 		15
MATH	332		91928	Abstract Algebra	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Lauren Rose	MC 		15
MATH	361		91929	Real Analysis	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Steven Simon	MC 		15
MUS	104		92281	Bard College Community Orchestra	2		M	.	.	.	.	.	.	7:00 PM	9:30 PM	Erica Kiesewetter/Kathryn Aldous/Zachary Schwartzman	PA 		20
MUS	105		92266	Bard College Symphonic Chorus	1		.	T	.	.	.	.	.	7:30 PM	10:00 PM	James Bagwell	PA 		35
MUS	108D		92267	Ensemble: Chamber Singers	2		.	T	.	Th	.	.	.	5:30 PM	7:00 PM	James Bagwell	PA 		25
MUS	108H	I	92318	Ensemble: Balinese Gamelan	1		M	.	.	.	.	.	.	5:00 PM	7:00 PM	I Ketut Suadin	PA 		20
MUS	108H	II	92319	Ensemble: Balinese Gamelan	1		M	.	.	.	.	.	.	7:00 PM	9:00 PM	I Ketut Suadin	PA 		20
MUS	108M		92316	Ensemble for Any Instruments	1		.	T	.	.	.	.	.	7:30 PM	9:00 PM	Patricia Spencer	PA 		10
MUS	108N		92287	Contemporary Jazz Composers Ensemble	2		M	.	.	.	.	.	.	5:30 PM	7:30 PM	Erica Lindsay	PA 		10
MUS	108P		92293	Baroque Ensemble	2		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Renee Louprette	PA 		25
MUS	108Q		92315	Mixed Trios, Quartets and Quintets	1		.	.	.	.	.	.	.			Patricia Spencer	PA 		8
MUS	108R		92290	The Bard Georgian Choir	2		.	.	W	.	.	.	.	3:10 PM	5:30 PM	Carl Linich	PA 		30
MUS	108S	I	92326	Afro Caribbean Percussion Ensemble	1		.	.	.	.	F	.	.	12:00 PM	1:15 PM	Roland Vazquez	PA 		15
MUS	108S	II	92327	Afro Caribbean Percussion Ensemble	1		.	.	.	.	F	.	.	1:45 PM	3:00 PM	Roland Vazquez	PA 		15
MUS	108SC		92305	Spontaneous Composition Ensemble	2		.	T	.	.	.	.	.	5:10 PM	7:10 PM	Angelica Sanchez	PA 		10
MUS	108V		92302	Jazz Standards Ensemble I	2		M	.	.	.	.	.	.	1:30 PM	3:30 PM	Eric Person	PA 		12
MUS	142		92285	Introduction to Western Music	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Peter Laki	AA 		20
MUS	149		92294	Against All Odds: Women Composers	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Renee Louprette	AA 	D+J	20
MUS	169		92279	Listening to String Quartets	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Marka Gustavsson	AA 		16
MUS	171		92272	Jazz Harmony I	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	John Esposito	PA 		16
