
SUBJ	CRSE	SECTION	CRN	TITLE	CREDITS		M	T	W	TH	F	SAT	SUN	START	END	PROFESSOR	DISTRIBUTION	DJ	CLASS_CAP
ART	205	AG	92367	Sculpture II: Steel Obstacles & Bridges	4		.	.	.	Th	.	.	.	10:10 AM	1:10 PM	Arthur Gibbons	PA 		8
ART	205	KF	92371	Sculpture II: Soft Sculpture	4		.	.	.	Th	.	.	.	2:00 PM	5:00 PM	Kenji Fujita	PA 		12
ART	207	AA	92348	Drawing II	4		M	.	.	.	.	.	.	2:00 PM	5:00 PM	. TBA	PA 		12
ART	207	LK	92365	Drawing II	4		.	.	W	.	.	.	.	2:00 PM	5:00 PM	Laleh Khorramian	PA 		12
ART	209	LO	92352	Print II: The Artists Book	4		.	T	.	.	.	.	.	10:10 AM	1:10 PM	Lothar Osterburg	PA 		12
ART	250	JW	92369	Extended Media II	4		.	.	.	Th	.	.	.	10:10 AM	1:10 PM	Julia Weist	PA 		12
ART	301	RM	92363	Painting III: A Body of Work	4		.	.	W	.	.	.	.	10:10 AM	1:10 PM	Rebecca Morgan	PA 		12
ART	305	S/A	92358	Mutable Elements: Performative and Experimental Ceramics	4		.	.	W	.	.	.	.	3:30 PM	6:30 PM	Julianne Swartz/Lauren Anderson	PA 		12
ART	305	JP	92373	Sculpture III:	4		.	.	.	.	F	.	.	10:10 AM	1:10 PM	Judy Pfaff	PA 		12
ART	405	DD	92359	Senior Seminar	0		.	T	.	.	.	.	.	5:40 PM	7:40 PM	Daniella Dooling	None		20
ARTH	101		91856	Perspectives in World Art	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Anne Chen	AA 		22
ARTH	107		91866	Arts of Korea	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Heeryoon Shin	AA 		22
ARTH	123		91864	20th Century Art: What it means to be Avant-Garde	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Alex Kitnick	AA 		22
ARTH	126		91867	Situating Architecture: Modernisms	4		.	.	W	.	F	.	.	11:50 AM	1:10 PM	Olga Touloumi	AA 		22
ARTH	128		91862	Art of the Ancient Near East	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Julia Rosenbaum	AA 		22
ARTH	225		91863	Art and Environment: Perspectives on Land, Landscape, and Ecology	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Julia Rosenbaum	AA 		22
ARTH	251		91859	Photography's Other Histories	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Laurie Dahlberg	None		22
ARTH	257		91860	European Painting/Age of Revolution	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Laurie Dahlberg	AA 		22
ARTH	293		92089	East Meets West	4		.	.	W	.	.	.	.	10:10 AM	12:30 PM	Patricia Karetzky	AA 		22
ARTH	318		91857	Dura-Europos and the Problems of Archaeological Archives (Part 1)	2		.	.	W	.	.	.	.	9:10 AM	11:30 AM	Anne Chen	AA 		10
ARTH	320		91858	Dura-Europos/Problems of Archaeological Archives, (Part 2)	2		.	.	W	.	.	.	.	9:10 AM	11:30 AM	Anne Chen	AA 		5
ARTH	348		91869	Asian American Artists Seminar	4		M	.	.	.	.	.	.	12:30 PM	2:50 PM	Tom Wolf	AA 		15
ARTH	385		91868	Theories and Methods of Art History	4		.	.	.	Th	.	.	.	3:10 PM	5:30 PM	Olga Touloumi	AA 		15
ARTH	397		91865	Art School	4		.	.	W	.	.	.	.	3:30 PM	5:50 PM	Alex Kitnick	AA 		15
ARTS	235		92430	Introduction to Media	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Joshua Glick	AA 		20
